rank,concept_name,concept_type,paper_count,first_month,latest_month,top_paradigms,top_categories
1,large language models,model,13,2026-07,2026-07,Reasoning | Benchmark/Evaluation | Theory/Methodology | Alignment/Safety,cs.CL | cs.AI | cs.SE | cs.LG
2,large language model,model,10,2026-07,2026-07,Reasoning | Benchmark/Evaluation | Agent/Tool Use | Dataset/Benchmark,cs.CL | cs.LG | cs.AI | cs.CV
3,transformer,model,8,2026-07,2026-07,Reasoning | Efficiency/Optimization | Multimodal | Benchmark/Evaluation,cs.CL | cs.LG | cs.AI | cs.CV
4,retrieval-augmented generation,method,7,2026-07,2026-07,RAG/Retrieval | Reasoning | Agent/Tool Use,cs.AI | cs.SE | cs.CL | cs.CV
5,reinforcement learning,method,6,2026-07,2026-07,Reasoning | Agent/Tool Use,cs.LG | cs.AI | cs.CL
6,multimodal,task,5,2026-07,2026-07,Multimodal | Benchmark/Evaluation,cs.CV | cs.CL | cs.SE
7,vision-language model,model,5,2026-07,2026-07,Reasoning | Alignment/Safety | Benchmark/Evaluation | Multimodal,cs.CV | cs.HC | cs.LG
8,fine-tuning,method,5,2026-07,2026-07,Theory/Methodology | Benchmark/Evaluation | Alignment/Safety | Multimodal,cs.CL | cs.LG | cs.CV
9,hallucination,risk,4,2026-07,2026-07,Reasoning | Theory/Methodology | Multimodal,cs.CL | cs.CV | cs.SE | cs.AI
10,hidden states,model,3,2026-07,2026-07,Reasoning | Theory/Methodology,cs.CL | cs.LG | cs.CV
11,domain adaptation,method,3,2026-07,2026-07,Theory/Methodology | Alignment/Safety | Benchmark/Evaluation,cs.CL | cs.CV
12,llm,model,3,2026-07,2026-07,Agent/Tool Use | Benchmark/Evaluation,cs.SE | cs.CL | cs.CR
13,language model,model,3,2026-07,2026-07,Benchmark/Evaluation,cs.CL | cs.AI
14,macro-f1,metric,3,2026-07,2026-07,Benchmark/Evaluation,cs.LG | cs.CL
15,knowledge distillation,method,3,2026-07,2026-07,Reasoning | Efficiency/Optimization,cs.RO | cs.LG | cs.CL
16,transformer-based model,model,3,2026-07,2026-07,Reasoning | Efficiency/Optimization | Theory/Methodology,cs.LG | cs.RO
17,self-distillation,method,3,2026-07,2026-07,Reasoning | Alignment/Safety,cs.LG | cs.AI | cs.CL
18,vision-language models,model,3,2026-07,2026-07,Multimodal | Benchmark/Evaluation | Reasoning,cs.CL | cs.AI | cs.CV
19,benchmark,other,3,2026-07,2026-07,Benchmark/Evaluation | Reasoning | Multimodal,cs.CL | cs.AI | cs.SE
20,alignment,other,2,2026-07,2026-07,Alignment/Safety,cs.AI | cs.CL
21,foundation models,model,2,2026-07,2026-07,Theory/Methodology | Reasoning,cs.AI
22,on-policy distillation,method,2,2026-07,2026-07,Agent/Tool Use | Theory/Methodology,cs.CL | cs.LG
23,throughput,metric,2,2026-07,2026-07,Reasoning | Efficiency/Optimization,cs.CL | cs.AI
24,policy gradient,method,2,2026-07,2026-07,Reasoning,cs.CL | cs.AI
25,policy optimization,method,2,2026-07,2026-07,Alignment/Safety,cs.LG
26,benchmark,metric,2,2026-07,2026-07,Multimodal | Alignment/Safety,cs.CV | cs.CL
27,distillation,method,2,2026-07,2026-07,Multimodal | Efficiency/Optimization,cs.CL | cs.SD
28,prompt engineering,method,2,2026-07,2026-07,Benchmark/Evaluation,cs.AI | cs.CL
29,language models,model,2,2026-07,2026-07,Reasoning | Theory/Methodology,cs.CL
30,f1 score,metric,2,2026-07,2026-07,Reasoning | Application,cs.CL | cs.CV
