concept_name,concept_type,primary_category,paper_count
large language model,model,cs.CL,4
large language models,model,cs.CL,4
fine-tuning,method,cs.CL,3
large language models,model,cs.AI,3
multimodal,task,cs.CV,3
vision-language model,model,cs.CV,3
transformer,model,cs.CL,3
reinforcement learning,method,cs.LG,3
transformer,model,cs.LG,3
retrieval-augmented generation,method,cs.AI,3
supervised fine-tuning,method,cs.CL,2
perplexity,metric,cs.CL,2
evaluation,other,cs.CL,2
transformer-based model,model,cs.LG,2
domain adaptation,method,cs.CL,2
large language models,model,cs.SE,2
language model,model,cs.CL,2
large language models,model,cs.LG,2
language models,model,cs.CL,2
policy optimization,method,cs.LG,2
factual consistency,metric,cs.CL,2
large language model,model,cs.LG,2
code generation,task,cs.SE,2
foundation models,model,cs.AI,2
retrieval-augmented generation,method,cs.SE,2
steering vectors,method,cs.LG,2
reinforcement learning,method,cs.AI,2
macro-f1,metric,cs.LG,2
large language model,model,cs.AI,2
position embedding,theory,cs.CV,1
port-based cad assembly library,method,cs.AI,1
population profile,method,cs.LG,1
population misalignment,risk,cs.AI,1
polyworkbench,other,cs.AI,1
polysemanticity,risk,cs.LG,1
predictability,theory,cs.AI,1
preference optimization,method,cs.CL,1
pretrained score network,model,cs.LG,1
pretraining curriculum,theory,cs.LG,1
pollution protocol,dataset,cs.CL,1
price anchoring,method,cs.LG,1
primitive skills,task,cs.AI,1
principled-vs-statistical distinction,other,cs.CL,1
polynomial approximations,method,cs.LG,1
privacy,application,cs.CR,1
pretrained audio teacher,model,cs.SD,1
pragmatic quality,metric,cs.CL,1
pragmatic framing,risk,cs.CL,1
pre-generation signals,method,cs.CV,1
pre-solution confidence,metric,cs.CL,1
pragmatic ambiguity,task,cs.SE,1
powerbench,tool,cs.AR,1
power-calibrated,theory,stat.ML,1
power status,application,cs.CL,1
power analysis,theory,cs.CL,1
position-interpolation-based length generalization,method,cs.LG,1
posterior belief,theory,econ.TH,1
post-training acceleration,method,cs.CV,1
post-training,application,cs.CL,1
post-solution confidence,metric,cs.CL,1
post-rl teacher,model,cs.LG,1
predicate-gated state transitions,method,cs.AI,1
