concept_name,concept_type,primary_paradigm,paper_count
reinforcement learning,method,Reasoning,5
large language model,model,Reasoning,4
transformer,model,Reasoning,4
large language models,model,Reasoning,4
multimodal,task,Multimodal,3
macro-f1,metric,Benchmark/Evaluation,3
language model,model,Benchmark/Evaluation,3
large language models,model,Theory/Methodology,3
large language models,model,Benchmark/Evaluation,3
large language model,model,Benchmark/Evaluation,3
retrieval-augmented generation,method,RAG/Retrieval,3
policy optimization,method,Alignment/Safety,2
policy gradient,method,Reasoning,2
self-distillation,method,Reasoning,2
alignment,other,Alignment/Safety,2
knowledge distillation,method,Reasoning,2
large language model,model,Agent/Tool Use,2
hidden states,model,Reasoning,2
llm,model,Agent/Tool Use,2
large language models,model,Alignment/Safety,2
prompt engineering,method,Benchmark/Evaluation,2
evaluation,other,Benchmark/Evaluation,2
multimodal,task,Benchmark/Evaluation,2
fine-tuning,method,Theory/Methodology,2
retrieval-augmented generation,method,Reasoning,2
hallucination,risk,Reasoning,2
retrieval-augmented generation,method,Agent/Tool Use,2
vision-language model,model,Reasoning,2
post-rl teacher,model,Reasoning,1
post hallucination reasoning (phr,task,Reasoning,1
position-interpolation-based length generalization,method,Theory/Methodology,1
position estimation,metric,Theory/Methodology,1
position embedding,theory,Reasoning,1
port-based cad assembly library,method,Reasoning,1
price anchoring,method,Reasoning,1
primitive skills,task,Reasoning,1
principled-vs-statistical distinction,other,Theory/Methodology,1
privacy,application,Benchmark/Evaluation,1
population profile,method,Benchmark/Evaluation,1
population misalignment,risk,Benchmark/Evaluation,1
polyworkbench,other,Benchmark/Evaluation,1
privacy classifier,tool,Application,1
polysemanticity,risk,Theory/Methodology,1
post-hoc score,metric,Multimodal,1
predictability,theory,Alignment/Safety,1
predicate-gated state transitions,method,Alignment/Safety,1
pre-solution confidence,metric,Reasoning,1
preference optimization,method,Reasoning,1
pretrained audio teacher,model,Efficiency/Optimization,1
pre-generation signals,method,Reasoning,1
pragmatic quality,metric,Reasoning,1
pragmatic framing,risk,Alignment/Safety,1
pragmatic ambiguity,task,RAG/Retrieval,1
private intent,task,Alignment/Safety,1
pretrained score network,model,Reasoning,1
power-calibrated,theory,Theory/Methodology,1
power status,application,Theory/Methodology,1
power analysis,theory,Benchmark/Evaluation,1
potential-based reward shaping (pbrs,theory,Alignment/Safety,1
posterior belief,theory,Agent/Tool Use,1
post-training acceleration,method,Efficiency/Optimization,1
pretraining curriculum,theory,Theory/Methodology,1
post-training,application,Agent/Tool Use,1
post-solution confidence,metric,Reasoning,1
powerbench,tool,Efficiency/Optimization,1
pet-guided noise modulation module,tool,Reasoning,1
perturbation discrimination score (pds,metric,Benchmark/Evaluation,1
personal ai agents,application,Alignment/Safety,1
persistent homology,theory,Application,1
perplexity degradation,metric,Efficiency/Optimization,1
perplexity,metric,Efficiency/Optimization,1
perplexity,metric,Benchmark/Evaluation,1
performance-relevant diff hunks,task,Theory/Methodology,1
perceptual stages,task,Efficiency/Optimization,1
percentile-aware layerwise sparsity,method,Efficiency/Optimization,1
privacy-utility orthogonality,theory,Application,1
pedagogical rubric,theory,Benchmark/Evaluation,1
pattern recognition,theory,Theory/Methodology,1
pattern matching,task,Reasoning,1
pattern discovery,task,Agent/Tool Use,1
pathwise feature transport,method,Reasoning,1
path-dependent tension resolution,theory,Theory/Methodology,1
path planning,task,Reasoning,1
pass 2,metric,Agent/Tool Use,1
partial observability,task,Reasoning,1
part segmentation,task,Reasoning,1
parametric component factories,application,Reasoning,1
per-axis normalization,method,Efficiency/Optimization,1
polynomial approximations,method,Efficiency/Optimization,1
pollution protocol,dataset,Alignment/Safety,1
political orientation,application,Theory/Methodology,1
policy optimization target,theory,Reasoning,1
policy loss,metric,Alignment/Safety,1
policy gradients,theory,Reasoning,1
policy distillation,method,Reasoning,1
polarity-contradiction detection,method,Benchmark/Evaluation,1
poisson arrival process,model,Agent/Tool Use,1
point-cloud manifold,model,Theory/Methodology,1
phase-based freeze schedule,method,Alignment/Safety,1
podcast feed,dataset,Dataset/Benchmark,1
planning compilation,method,Agent/Tool Use,1
planning,other,Alignment/Safety,1
planner behavior,other,Alignment/Safety,1
plan-like internal representation,theory,Theory/Methodology,1
pixel-level segmentation mask,tool,Reasoning,1
physics-guided machine learning,theory,Reasoning,1
physics-audited agentic sciml,method,Agent/Tool Use,1
physics requirements,theory,Agent/Tool Use,1
physical plausibility,other,Reasoning,1
physical laws,application,Reasoning,1
point cloud evolution,task,Reasoning,1
refusal,application,Reasoning,1
reflective orchestrator,method,Agent/Tool Use,1
reference-free,model,Reasoning,1
reed-solomon code,method,Theory/Methodology,1
redundant meta-training compute,method,Efficiency/Optimization,1
redsm5,dataset,Benchmark/Evaluation,1
recursive prompt bank,model,Multimodal,1
recurring workflows,task,Agent/Tool Use,1
recurrent soft-flow,method,Reasoning,1
reconstruction-aware,method,Application,1
prompt category,task,Benchmark/Evaluation,1
reasoning-free inference,other,Alignment/Safety,1
reasoning-active training,other,Alignment/Safety,1
reasoning traces,task,Alignment/Safety,1
reasoning guard,other,Alignment/Safety,1
reasoning dynamics,metric,Reasoning,1
realistic coding contexts,task,Benchmark/Evaluation,1
real-world end-to-end working demands,task,Benchmark/Evaluation,1
readability,metric,Benchmark/Evaluation,1
ray and wave optics,task,Benchmark/Evaluation,1
rational inattention,theory,Alignment/Safety,1
recommendation generation,application,Benchmark/Evaluation,1
requirement disambiguation,task,RAG/Retrieval,1
reproducing kernel hilbert space,model,Theory/Methodology,1
reproducibility,metric,Efficiency/Optimization,1
representation sharing,metric,Alignment/Safety,1
repository enrichment,method,Benchmark/Evaluation,1
repeated games,other,Alignment/Safety,1
repeated execution protocol,method,Benchmark/Evaluation,1
renyi entropy,metric,Theory/Methodology,1
relevance anchor,model,Efficiency/Optimization,1
rejection sampling,theory,Alignment/Safety,1
refusal behavior,other,Alignment/Safety,1
reinforcement learning from verifiable rewards (rlvr,method,Reasoning,1
reinforcement learning,theory,Reasoning,1
reinforcement learning,method,Agent/Tool Use,1
reinforcement learning,application,Agent/Tool Use,1
reinforcement fine-tuning,method,Alignment/Safety,1
regulation-aware ai,theory,Alignment/Safety,1
regression model,method,Reasoning,1
region of interest,task,Reasoning,1
region context embeddings,task,Reasoning,1
regime-dependent failure,risk,Alignment/Safety,1
regex-based constraint,tool,Reasoning,1
rejection fine-tuning,method,Reasoning,1
prototypical contrastive learning,method,Theory/Methodology,1
protocolmanager,tool,RAG/Retrieval,1
prosodic segmentation,task,Reasoning,1
proprioceptive vehicle localization,task,Reasoning,1
proposal trees,task,Reasoning,1
proof-mechanism,task,Reasoning,1
prompt-optimized parameter shaking,method,Alignment/Safety,1
prompt robustness,theory,Benchmark/Evaluation,1
prompt optimization,method,Theory/Methodology,1
prompt construction,risk,Reasoning,1
rate-of-spread estimation,metric,Reasoning,1
parameter-efficient fine-tuning (peft,method,Efficiency/Optimization,1
projective techniques,task,Theory/Methodology,1
program synthesis,task,Agent/Tool Use,1
program evolution,task,Reasoning,1
program analysis,tool,Agent/Tool Use,1
production traffic,metric,Benchmark/Evaluation,1
process model generation,task,Reasoning,1
probability capacity (cap,theory,Reasoning,1
privileged information,risk,Reasoning,1
privileged context,method,Alignment/Safety,1
prompt complexity,theory,Theory/Methodology,1
rank-r subspace,task,Efficiency/Optimization,1
rank-1 orthogonal projections,method,Efficiency/Optimization,1
random sampling map,method,Theory/Methodology,1
random neural network,model,Theory/Methodology,1
random forest,method,Reasoning,1
qwen,model,Efficiency/Optimization,1
question-type-specific inference,method,Reasoning,1
query-key projections,task,Efficiency/Optimization,1
quantitative data extraction,method,Theory/Methodology,1
quantisation,method,Efficiency/Optimization,1
proxy score,metric,Theory/Methodology,1
quality scorer,metric,Agent/Tool Use,1
quality rubric,metric,Benchmark/Evaluation,1
quadrotor,application,Reasoning,1
pure reasoning,other,Reasoning,1
pullback metrics,method,Theory/Methodology,1
public announcement,task,Alignment/Safety,1
pubhealthbench,dataset,RAG/Retrieval,1
psychometric battery,method,Reasoning,1
pseudo frames,dataset,Reasoning,1
pruning,method,Efficiency/Optimization,1
pruning,application,Reasoning,1
quality-filtered trajectory distillation,method,Agent/Tool Use,1
multi-agent architecture,model,Agent/Tool Use,1
motion latents,other,Reasoning,1
moral decisiveness,theory,Reasoning,1
monotonic improvement,theory,Theory/Methodology,1
monoid extension,theory,Reasoning,1
monocular depth estimation,method,Reasoning,1
moe llm,model,Multimodal,1
moe,model,Efficiency/Optimization,1
modular instruction memory,model,Reasoning,1
model-relative text compression,theory,Theory/Methodology,1
optimizer state,task,Efficiency/Optimization,1
modality interference,risk,Reasoning,1
mobilenetv2,model,Application,1
mobile llm inference,task,Efficiency/Optimization,1
mmlu,other,Efficiency/Optimization,1
mmd,method,Alignment/Safety,1
ml-based model selection,method,Efficiency/Optimization,1
mixture-of-models,model,Efficiency/Optimization,1
mixture of beta distribution,model,Theory/Methodology,1
mixed-mode rollout,method,Alignment/Safety,1
misalignment,risk,Benchmark/Evaluation,1
minority class,task,Benchmark/Evaluation,1
model failure modes,risk,Benchmark/Evaluation,1
multi-scale transformer,model,Efficiency/Optimization,1
multi-resolution,method,Reasoning,1
multi-model blending,method,Reasoning,1
multi-modality machine unlearning,theory,Alignment/Safety,1
multi-modal representation,other,Benchmark/Evaluation,1
multi-modal input,other,Reasoning,1
multi-llm arena,tool,Benchmark/Evaluation,1
multi-label span classification,task,Benchmark/Evaluation,1
multi-label formulation,model,Benchmark/Evaluation,1
multi-hop qa,dataset,Agent/Tool Use,1
multi-agent coordination,application,Alignment/Safety,1
multi-fidelity framework,theory,Efficiency/Optimization,1
multi-dimensional reward shaping,method,Agent/Tool Use,1
multi-dimensional annotation,metric,Benchmark/Evaluation,1
multi-class formulation,model,Benchmark/Evaluation,1
multi-channel spread-spectrum watermarking,method,Theory/Methodology,1
multi-buyer markets,application,Reasoning,1
multi-bit watermarking,method,Alignment/Safety,1
multi-agent systems,theory,Agent/Tool Use,1
multi-agent pipeline,method,Multimodal,1
multi-agent mathematical reasoning,theory,Agent/Tool Use,1
multi-agent llm safety,application,Alignment/Safety,1
multi-gpu,tool,Efficiency/Optimization,1
mamba,model,Reasoning,1
majority voting,method,Theory/Methodology,1
majority voting,method,Benchmark/Evaluation,1
mahalanobis distance scores,metric,Theory/Methodology,1
machine-checkable,tool,Agent/Tool Use,1
machine translation,tool,Reasoning,1
machine representation reconstruction,method,Theory/Methodology,1
lyapunov function,theory,Efficiency/Optimization,1
low-rank temporal adapters,model,Multimodal,1
low-rank peft,method,Alignment/Safety,1
minimum covariance determinant (mcd,method,Theory/Methodology,1
low-rank adaptation (lora,method,Efficiency/Optimization,1
low-precision gradient communication,method,Efficiency/Optimization,1
low-latency path,model,Efficiency/Optimization,1
low-capacity evaluation channel,model,Alignment/Safety,1
lora fine-tune,method,Alignment/Safety,1
lora adapters,model,Reasoning,1
lora adapters,model,Efficiency/Optimization,1
lora,model,Efficiency/Optimization,1
long-term memory,model,Alignment/Safety,1
long-horizon reasoning,other,Alignment/Safety,1
long-horizon,task,Efficiency/Optimization,1
low-rank adaptation (lora,method,Reasoning,1
minimax-regret,metric,Agent/Tool Use,1
meta-learning,theory,Efficiency/Optimization,1
mentalroberta,model,Benchmark/Evaluation,1
memory-guided generation,method,RAG/Retrieval,1
memory poisoning,risk,Alignment/Safety,1
memorization window,metric,Efficiency/Optimization,1
medical figure classification,task,Multimodal,1
mechanistic interpretability,theory,Theory/Methodology,1
measurement validity,other,Alignment/Safety,1
mean-field residual-scaling law,theory,Benchmark/Evaluation,1
manipulation policies,application,Reasoning,1
matthews correlation coefficient (mcc,metric,Benchmark/Evaluation,1
mathematical reasoning,task,Benchmark/Evaluation,1
mass-shell constraint,theory,Theory/Methodology,1
mass-conserving fuel transport,metric,Reasoning,1
masked sequence,task,Reasoning,1
masked language model,model,Reasoning,1
mask-conditioned,method,Efficiency/Optimization,1
market discovery,task,Reasoning,1
market coupling,task,Benchmark/Evaluation,1
marker-gated coordination pass,method,Reasoning,1
manual labeling,method,Dataset/Benchmark,1
mean-field posterior,model,Efficiency/Optimization,1
on-policy distillation,method,Agent/Tool Use,1
on-policy,method,Reasoning,1
olfaction,application,Multimodal,1
offloading and quantization strategies,method,Efficiency/Optimization,1
offline reinforcement learning,method,Agent/Tool Use,1
offline recurrent loop,method,Theory/Methodology,1
offline construction,method,Efficiency/Optimization,1
off-policy training,task,Alignment/Safety,1
observer option12,tool,Theory/Methodology,1
object detection,task,Reasoning,1
multi-seed study,method,Theory/Methodology,1
nucleus accumbens,model,Alignment/Safety,1
novelty profile,metric,Efficiency/Optimization,1
novelty claim,metric,Theory/Methodology,1
normal-inverse-gamma distribution,metric,Reasoning,1
nonlinear effects,theory,Efficiency/Optimization,1
nli,theory,Alignment/Safety,1
neuron-level interventions,method,Efficiency/Optimization,1
neuron selectors,model,Reasoning,1
neural network modifications,task,Reasoning,1
neural fictitious self-play,method,Agent/Tool Use,1
ndcg,metric,Theory/Methodology,1
nurc-sp dataset,dataset,Reasoning,1
pangolintokenizer,other,Application,1
pandasqueryengine,tool,RAG/Retrieval,1
paired significance tests,metric,Benchmark/Evaluation,1
output cardinality,metric,Theory/Methodology,1
outcome reward,metric,Alignment/Safety,1
ordinary least squares fit,method,Theory/Methodology,1
oracle,model,Reasoning,1
research ideation,task,Theory/Methodology,1
optimization context,task,Agent/Tool Use,1
optimal transport divergence,theory,Theory/Methodology,1
on-policy distillation,method,Theory/Methodology,1
operational reframing,risk,Alignment/Safety,1
operating point,metric,Theory/Methodology,1
openapi specification,dataset,Reasoning,1
open-source smaller language models (os-sllms,model,Theory/Methodology,1
open-source llms,tool,Multimodal,1
open-source detectors,application,Benchmark/Evaluation,1
open web search,method,Benchmark/Evaluation,1
open problems,task,Agent/Tool Use,1
ontology-based synonym matching,method,Benchmark/Evaluation,1
one-dimensional transformer autoencoder,model,Efficiency/Optimization,1
on-policy token,model,Alignment/Safety,1
optimal policy,other,Agent/Tool Use,1
multimodal large language model (mllm,model,Reasoning,1
multimodal interaction,other,Alignment/Safety,1
multimodal generative framework,model,Multimodal,1
multimodal generation,task,Multimodal,1
multimodal entropy structure,theory,Theory/Methodology,1
multimodal alignment,task,Agent/Tool Use,1
multimodal,other,Agent/Tool Use,1
multimodal,application,Multimodal,1
multilingual transcripts,dataset,Reasoning,1
multilingual long-horizon llm agents,application,Benchmark/Evaluation,1
naturalistic online setting,application,Benchmark/Evaluation,1
multilingual ability,application,Multimodal,1
multilingual,task,Benchmark/Evaluation,1
multifactor scoring system,theory,Benchmark/Evaluation,1
multidimensional protocol,method,Benchmark/Evaluation,1
multicultural,task,Benchmark/Evaluation,1
multi-view context,task,Reasoning,1
multi-turn interaction,task,Alignment/Safety,1
multi-token localized attention (mtla,method,Multimodal,1
multi-task reinforcement learning,task,Alignment/Safety,1
multi-step derivation,risk,Reasoning,1
multi-stage reasoning,method,Reasoning,1
multilingual access,tool,Alignment/Safety,1
natural-language justification,method,Benchmark/Evaluation,1
natural-language i/o,task,Alignment/Safety,1
natural-language datasets,dataset,Theory/Methodology,1
natural-gradient update,method,Reasoning,1
natural world,application,Reasoning,1
natural language specification,application,Agent/Tool Use,1
natural language prover,model,Agent/Tool Use,1
natural language processing (nlp,task,Theory/Methodology,1
natural language processing,tool,Theory/Methodology,1
natural language processing,task,Theory/Methodology,1
multimodal large language models,model,Reasoning,1
native structural reasoning,method,Reasoning,1
nas,theory,Multimodal,1
narrative generation,application,Agent/Tool Use,1
mutual transformer,model,Reasoning,1
mutation taxonomy,theory,Theory/Methodology,1
mupe-diversidades dataset,dataset,Reasoning,1
multiple-comparison correction,theory,Benchmark/Evaluation,1
multimodal scientific foundation model,model,Reasoning,1
multimodal retrieval,method,RAG/Retrieval,1
multimodal representation,model,Theory/Methodology,1
multimodal pattern,metric,Reasoning,1
natural language explanation,application,Agent/Tool Use,1
token-level clipping,method,Reasoning,1
token-centric dual-view learning,method,Reasoning,1
token-adaptive cache compression,method,Efficiency/Optimization,1
token log probability,metric,Alignment/Safety,1
timestep schedules,task,Reasoning,1
time-series forecasting,task,Reasoning,1
time-conditioned velocity field,model,Reasoning,1
time-agnostic propagation,method,Efficiency/Optimization,1
time series classification,task,Efficiency/Optimization,1
throughput,metric,Reasoning,1
resource-constrained embedded device,application,Efficiency/Optimization,1
threshold check,metric,Benchmark/Evaluation,1
threat score,metric,Reasoning,1
thinking residual,theory,Alignment/Safety,1
thinking models,model,Alignment/Safety,1
thermal-airflow perturbation,other,Reasoning,1
textual dependency graph,model,Agent/Tool Use,1
text-to-video diffusion transformer,model,Multimodal,1
text-to-sql,task,Benchmark/Evaluation,1
text-to-cad,task,Reasoning,1
text summarization,task,Theory/Methodology,1
test suite,metric,Reasoning,1
throughput,metric,Efficiency/Optimization,1
trajectory-aware benchmarks,other,Benchmark/Evaluation,1
trajectory planning,task,Reasoning,1
training-set coverage,metric,Theory/Methodology,1
training-free,method,Multimodal,1
training epochs,task,Efficiency/Optimization,1
tracking,task,Reasoning,1
trace analysis,method,Reasoning,1
tpc-h benchmark,other,Efficiency/Optimization,1
topological continuity,theory,Theory/Methodology,1
topic-conditional layer normalization,method,Theory/Methodology,1
topic models,model,Theory/Methodology,1
token-level explanation,method,Theory/Methodology,1
top-k marginals,metric,Reasoning,1
toolset,tool,Agent/Tool Use,1
toolfailbench,other,Benchmark/Evaluation,1
tool-use failures,task,Benchmark/Evaluation,1
tool-augmented agent,model,Agent/Tool Use,1
tool use,application,Alignment/Safety,1
tool resampling,method,Benchmark/Evaluation,1
tool discovery,task,Benchmark/Evaluation,1
tool composition,task,Benchmark/Evaluation,1
tool call,task,Agent/Tool Use,1
token-level signals,task,Agent/Tool Use,1
top-term analyses,other,Theory/Methodology,1
synthetic cohort,dataset,Reasoning,1
syntactic quality,metric,Reasoning,1
syntactic attacks,risk,Theory/Methodology,1
synchronized trajectory,task,Dataset/Benchmark,1
synaptic rule,method,Reasoning,1
symplectic learning,theory,Reasoning,1
symmetric positive definite (spd) manifold,theory,Theory/Methodology,1
symmetric noise objective,theory,Theory/Methodology,1
symbolic bootstraps,metric,Efficiency/Optimization,1
symbolic attribute graph,model,Reasoning,1
test oracles,task,Theory/Methodology,1
svm classifier,method,Reasoning,1
surrogate models,model,Agent/Tool Use,1
surrogate modeling,method,Efficiency/Optimization,1
surrogate model,model,Theory/Methodology,1
surplus extraction,task,Reasoning,1
supervised training,method,Multimodal,1
supervised fine-tuning,method,Theory/Methodology,1
supervised fine-tuning,method,Reasoning,1
supervised fine-tuning,application,Agent/Tool Use,1
superquadric primitive,model,Reasoning,1
superposition,risk,Theory/Methodology,1
sycophancy,other,Alignment/Safety,1
test effectiveness,metric,Reasoning,1
tensor program,theory,Theory/Methodology,1
temporal encoder,model,Reasoning,1
temporal drift,metric,Efficiency/Optimization,1
temporal discourse reasoning,task,Theory/Methodology,1
temporal convolution module,model,Reasoning,1
temporal analysis,method,Benchmark/Evaluation,1
template accuracy,metric,Reasoning,1
telegram posts,application,Theory/Methodology,1
teacher-student model,model,Efficiency/Optimization,1
teacher-student framework,method,Reasoning,1
synthetic consumer data,dataset,Theory/Methodology,1
task-rubric rewards,metric,Agent/Tool Use,1
task-relevant computations,task,Efficiency/Optimization,1
task-oriented scenarios,dataset,Agent/Tool Use,1
task constraints,risk,Alignment/Safety,1
tabular classifier,tool,Reasoning,1
table qa,task,Benchmark/Evaluation,1
table insight,task,Benchmark/Evaluation,1
systems development life cycle (sdlc,theory,Theory/Methodology,1
synthetic labeling,task,Benchmark/Evaluation,1
synthetic fog generation,task,Reasoning,1
synthetic content analysis,task,Benchmark/Evaluation,1
task-semantic field factorization,method,Reasoning,1
value alignment,theory,Alignment/Safety,1
utility-aligned canonical decomposition,method,Reasoning,1
utility classifier,tool,Application,1
upstream metric,metric,Benchmark/Evaluation,1
unigram-lm,method,Theory/Methodology,1
unified multimodal model,model,Multimodal,1
acoustic modulation,method,Benchmark/Evaluation,1
aligned models,model,Alignment/Safety,1
algebraic structure,task,Reasoning,1
ai-native sql,task,Benchmark/Evaluation,1
transaction history,dataset,Reasoning,1
agentic ai,model,Benchmark/Evaluation,1
agent-based verification,method,Reasoning,1
agent-based pipeline,method,Benchmark/Evaluation,1
agent-based modeling,model,Agent/Tool Use,1
agent-assisted recommendation,application,Agent/Tool Use,1
agent-as-user-simulator,application,Agent/Tool Use,1
agent-as-recommender,application,Agent/Tool Use,1
agent optimization,application,Agent/Tool Use,1
agent attention mechanism,model,Reasoning,1
agent,tool,Agent/Tool Use,1
adversarial vulnerability,risk,Reasoning,1
agentic framework,tool,Benchmark/Evaluation,1
visual question answering,task,Reasoning,1
visual imagination,task,Theory/Methodology,1
visual alignment reward,other,Alignment/Safety,1
vision-language models,model,Reasoning,1
vision-language models,model,Multimodal,1
vision-language models,model,Benchmark/Evaluation,1
vision-language model,model,Multimodal,1
vision-language model,model,Benchmark/Evaluation,1
vision-language model,model,Alignment/Safety,1
vision-language,application,Multimodal,1
vision foundation models,model,Dataset/Benchmark,1
variable naming conventions,method,Theory/Methodology,1
video diffusion models,model,Efficiency/Optimization,1
vex vr,application,Benchmark/Evaluation,1
verification-first workflow,method,Agent/Tool Use,1
verification-first execution framework,method,Alignment/Safety,1
verification,task,Agent/Tool Use,1
verifiable rewards,metric,Reasoning,1
vendorbench-100,other,Benchmark/Evaluation,1
vector field,model,Theory/Methodology,1
variational source condition,theory,Theory/Methodology,1
variational autoencoder,model,Multimodal,1
accuracy transition,task,Theory/Methodology,1
video2reaction,dataset,Multimodal,1
truncated reasoning auc evaluation (trace,method,Reasoning,1
tri-mode language model,model,Reasoning,1
tree-verification,method,Reasoning,1
tree-structured rollout,method,Reasoning,1
tree-of-thoughts (tot,method,Reasoning,1
transformer-based vision-language models,model,Reasoning,1
transformer-based topic modeling,method,Benchmark/Evaluation,1
transformer-based models,model,Theory/Methodology,1
transformer-based model,model,Theory/Methodology,1
transformer-based model,model,Reasoning,1
transformer-based model,model,Efficiency/Optimization,1
adversarial strategy,method,Alignment/Safety,1
transformer encoder,model,Benchmark/Evaluation,1
transformer decoder,model,Multimodal,1
transformer circuit analysis,method,Theory/Methodology,1
transformer attention heads,model,Alignment/Safety,1
transformer attention,model,Efficiency/Optimization,1
transformer architecture,model,Efficiency/Optimization,1
transformer,model,Theory/Methodology,1
transformer,model,Multimodal,1
transformer,model,Efficiency/Optimization,1
transformer,model,Benchmark/Evaluation,1
transfer learning,theory,Reasoning,1
transformer-based architectures,model,Dataset/Benchmark,1
adversarial attack,other,Reasoning,1
advantage-weighted separation,method,Reasoning,1
advantage-weighted regression,method,Agent/Tool Use,1
advantage-weighted ranking loss,method,Reasoning,1
advantage-weighted compactness,method,Reasoning,1
advantage regularization,method,Alignment/Safety,1
advantage awareness,theory,Alignment/Safety,1
accuracy,metric,Alignment/Safety,1
adapter gates,model,Multimodal,1
adapter composition schedule,method,Multimodal,1
activations,model,Alignment/Safety,1
trust region policy distillation,method,Theory/Methodology,1
activation overflow,risk,Efficiency/Optimization,1
activation magnitude,metric,Efficiency/Optimization,1
activation dispersion,metric,Reasoning,1
uncertainty-driven selective refinement,method,Reasoning,1
uncertainty quantification,method,Reasoning,1
uncertainty quantification,method,Alignment/Safety,1
unbounded positive asymmetric optimization (up,method,Reasoning,1
ucr archive,dataset,Efficiency/Optimization,1
uav imagery,dataset,Application,1
u-net,model,Reasoning,1
typing,task,Agent/Tool Use,1
activation steering,method,Alignment/Safety,1
self-supervised pretraining,method,Dataset/Benchmark,1
self-supervised learning,theory,Benchmark/Evaluation,1
self-supervised learning,method,Benchmark/Evaluation,1
self-supervised encoder,model,Theory/Methodology,1
self-speculation decoding,task,Reasoning,1
self-similarity,theory,Theory/Methodology,1
self-review,method,Reasoning,1
self-reported diagnosis,task,Benchmark/Evaluation,1
self-play,task,Reasoning,1
self-play,method,Agent/Tool Use,1
super-resolution,task,Efficiency/Optimization,1
self-distillation,method,Alignment/Safety,1
self-attention mechanisms,model,Efficiency/Optimization,1
selective disclosure,method,Alignment/Safety,1
segmentation,task,Dataset/Benchmark,1
