canonical_arxiv_id,published_month,primary_category,concept_name,concept_type,primary_paradigm
2607.07708,2026-07,cs.CL,native structural reasoning,method,Reasoning
2607.07708,2026-07,cs.CL,multimodal scientific foundation model,model,Reasoning
2607.07708,2026-07,cs.CL,homology-controlled gene ontology prediction,task,Reasoning
2607.07708,2026-07,cs.CL,structure-aware vocabulary,model,Reasoning
2607.07708,2026-07,cs.CL,retrosynthesis accuracy,metric,Reasoning
2607.07708,2026-07,cs.CL,elemental and compound phases,task,Reasoning
2607.07708,2026-07,cs.CL,band-gap regimes,task,Reasoning
2607.07707,2026-07,cs.CL,limited memory language models,model,RAG/Retrieval
2607.07707,2026-07,cs.CL,knowledge base,dataset,RAG/Retrieval
2607.07707,2026-07,cs.CL,continuous-query,method,RAG/Retrieval
2607.07707,2026-07,cs.CL,factual precision,metric,RAG/Retrieval
2607.07706,2026-07,cs.LG,softmax,other,Efficiency/Optimization
2607.07706,2026-07,cs.LG,rank-1 orthogonal projections,method,Efficiency/Optimization
2607.07706,2026-07,cs.LG,delta-style networks,model,Efficiency/Optimization
2607.07706,2026-07,cs.LG,gated accumulation,method,Efficiency/Optimization
2607.07706,2026-07,cs.LG,linearization,method,Efficiency/Optimization
2607.07706,2026-07,cs.LG,llama,model,Efficiency/Optimization
2607.07706,2026-07,cs.LG,qwen,model,Efficiency/Optimization
2607.07706,2026-07,cs.LG,mmlu,other,Efficiency/Optimization
2607.07702,2026-07,cs.CL,failure pattern mining,method,Agent/Tool Use
2607.07702,2026-07,cs.CL,causal localization,method,Agent/Tool Use
2607.07702,2026-07,cs.CL,textual dependency graph,model,Agent/Tool Use
2607.07702,2026-07,cs.CL,optimization context,task,Agent/Tool Use
2607.07702,2026-07,cs.CL,agent optimization,application,Agent/Tool Use
2607.07696,2026-07,cs.DB,llm-assisted code synthesis,method,Efficiency/Optimization
2607.07696,2026-07,cs.DB,database storage decoding,task,Efficiency/Optimization
2607.07696,2026-07,cs.DB,apache arrow buffers,metric,Efficiency/Optimization
2607.07696,2026-07,cs.DB,tpc-h benchmark,other,Efficiency/Optimization
2607.07696,2026-07,cs.DB,data lock-in,risk,Efficiency/Optimization
2607.0768,2026-07,math.ST,random sampling map,method,Theory/Methodology
2607.0768,2026-07,math.ST,generalization,theory,Theory/Methodology
2607.0768,2026-07,math.ST,sketching,method,Theory/Methodology
2607.0768,2026-07,math.ST,function class,task,Theory/Methodology
2607.0768,2026-07,math.ST,sampling,method,Theory/Methodology
2607.07678,2026-07,cs.LG,rotary position embeddings (rope,model,Theory/Methodology
2607.07678,2026-07,cs.LG,frequency-matching principle,theory,Theory/Methodology
2607.07678,2026-07,cs.LG,field-resolution tradeoff,theory,Theory/Methodology
2607.07678,2026-07,cs.LG,position-interpolation-based length generalization,method,Theory/Methodology
2607.07678,2026-07,cs.LG,self-similarity,theory,Theory/Methodology
2607.07673,2026-07,cs.CV,multimodal,task,Multimodal
2607.07673,2026-07,cs.CV,high-fidelity,metric,Multimodal
2607.07673,2026-07,cs.CV,clinical validation,application,Multimodal
2607.07673,2026-07,cs.CV,image-text pairs,dataset,Multimodal
2607.07673,2026-07,cs.CV,benchmark,metric,Multimodal
2607.07673,2026-07,cs.CV,medical figure classification,task,Multimodal
2607.07673,2026-07,cs.CV,visual question-answering,application,Multimodal
2607.07673,2026-07,cs.CV,retrieval,task,Multimodal
2607.0767,2026-07,cs.CL,activation dispersion,metric,Reasoning
2607.0767,2026-07,cs.CL,inverse participation ratio,metric,Reasoning
2607.0767,2026-07,cs.CL,spectral entropy,metric,Reasoning
