curation_keyword,canonical_arxiv_id,title,published_month,primary_category,abs_url,pdf_url
rag,2607.06993,Large Behavior Model A Promptable Digital Twin of the Retail Customer,2026-07,cs.AI,https://arxiv.org/abs/2607.06993,https://arxiv.org/pdf/2607.06993
rag,2607.06964,End-to-End LLM Flight Planning with RAG-based Memory and Multi-modal Coach Agent,2026-07,cs.RO,https://arxiv.org/abs/2607.06964,https://arxiv.org/pdf/2607.06964
rag,2607.06839,LEMUR 2 Unlocking Neural Network Diversity for AI,2026-07,cs.LG,https://arxiv.org/abs/2607.06839,https://arxiv.org/pdf/2607.06839
rag,2607.06507,DynaKRAG A Unified Framework for Learnable Evidence Control in Multi-Hop Retrieval-Augmented Generation,2026-07,cs.CL,https://arxiv.org/abs/2607.06507,https://arxiv.org/pdf/2607.06507
rag,2607.06641,Healthier LLMs Retrieval-Augmented Generation for Public Health Question Answering,2026-07,cs.CL,https://arxiv.org/abs/2607.06641,https://arxiv.org/pdf/2607.06641
rag,2607.05936,Mitigating Errors in LLM-Generated Web API Invocations via Retrieval-Augmented Generation and Constrained Decoding,2026-07,cs.SE,https://arxiv.org/abs/2607.05936,https://arxiv.org/pdf/2607.05936
rag,2607.05483,PatchOptic for Shared-State LLM Workflows with Projected Views and Verified Structured Updates,2026-07,cs.LG,https://arxiv.org/abs/2607.05483,https://arxiv.org/pdf/2607.05483
rag,2607.05217,Curated retrieval versus open web search in public AI information services a coverage-trust trade-off,2026-07,cs.CY,https://arxiv.org/abs/2607.05217,https://arxiv.org/pdf/2607.05217
rag,2607.05479,Privilege and confidentiality in generative AI workflows,2026-07,cs.CR,https://arxiv.org/abs/2607.05479,https://arxiv.org/pdf/2607.05479
rag,2607.05069,MIRAGE Defending Long-Form RAG Against Misinformation Pollution,2026-07,cs.CL,https://arxiv.org/abs/2607.05069,https://arxiv.org/pdf/2607.05069
rag,2607.05055,Toward Trustworthy Large Language Model Agents in Healthcare,2026-07,cs.AI,https://arxiv.org/abs/2607.05055,https://arxiv.org/pdf/2607.05055
