source,target,edge_weight,first_month,latest_month
reinforcement learning,transformer,2,2026-07,2026-07
knowledge distillation,transformer-based model,2,2026-07,2026-07
benchmark,multimodal,2,2026-07,2026-07
ablated models,vulnerability detection,1,2026-07,2026-07
sub-goal embeddings,sub-instructions,1,2026-07,2026-07
ablated models,executable patch validation,1,2026-07,2026-07
ablated models,cwe attribution,1,2026-07,2026-07
ablated models,aligned models,1,2026-07,2026-07
1d u-net,utility classifier,1,2026-07,2026-07
1d u-net,reconstruction-aware,1,2026-07,2026-07
1d u-net,privacy-utility orthogonality,1,2026-07,2026-07
1d u-net,privacy classifier,1,2026-07,2026-07
1d u-net,ecg anonymization,1,2026-07,2026-07
1-regularization,variational source condition,1,2026-07,2026-07
1-regularization,statistical inverse learning,1,2026-07,2026-07
1-regularization,empirical risk minimization,1,2026-07,2026-07
ablated models,refusal behavior,1,2026-07,2026-07
stochastic block steering (sbs,stochastic token steering (sts,1,2026-07,2026-07
stochastic model-discovery operator,utility-aligned canonical decomposition,1,2026-07,2026-07
stop-gradient operator,unbounded positive asymmetric optimization (up,1,2026-07,2026-07
strategic bargaining,surplus extraction,1,2026-07,2026-07
structural and functional mri,transformer,1,2026-07,2026-07
structural and functional mri,variational autoencoder,1,2026-07,2026-07
structural tension,topological continuity,1,2026-07,2026-07
accuracy,coherence,1,2026-07,2026-07
structured newton layer parallelism,symbolic bootstraps,1,2026-07,2026-07
structured radio frequency interference,vision-language model,1,2026-07,2026-07
structured radio frequency interference,zero-shot,1,2026-07,2026-07
structured token-level communication,token-centric dual-view learning,1,2026-07,2026-07
ablated models,localization,1,2026-07,2026-07
advantage-weighted compactness,advantage-weighted ranking loss,1,2026-07,2026-07
1-regularization,reproducing kernel hilbert space,1,2026-07,2026-07
super-resolution,time-agnostic propagation,1,2026-07,2026-07
superquadric primitive,vision-language model,1,2026-07,2026-07
supervised training,transformer decoder,1,2026-07,2026-07
surrogate model,token-level explanation,1,2026-07,2026-07
surrogate model,transformer-based model,1,2026-07,2026-07
surrogate models,verification-first workflow,1,2026-07,2026-07
svm classifier,wavelet scattering transform,1,2026-07,2026-07
syntactic attacks,variable naming conventions,1,2026-07,2026-07
synthetic consumer data,top-term analyses,1,2026-07,2026-07
