source,target,edge_weight,first_month,latest_month
reinforcement learning,transformer,2,2026-07,2026-07
knowledge distillation,transformer-based model,2,2026-07,2026-07
benchmark,multimodal,2,2026-07,2026-07
inference procedure,question-type-specific inference,1,2026-07,2026-07
inference-time plasticity,offline recurrent loop,1,2026-07,2026-07
inference-time plasticity,path-dependent tension resolution,1,2026-07,2026-07
inference-time plasticity,reversibility,1,2026-07,2026-07
inference-time plasticity,structural tension,1,2026-07,2026-07
inference-time plasticity,topological continuity,1,2026-07,2026-07
infinite-width limit,random neural network,1,2026-07,2026-07
infinite-width limit,tensor program,1,2026-07,2026-07
infinite-width limit,wasserstein distance,1,2026-07,2026-07
information gain,intermediate-state informativeness,1,2026-07,2026-07
information gain,policy optimization target,1,2026-07,2026-07
information gain,rollout policy optimization,1,2026-07,2026-07
information gain,tree-structured rollout,1,2026-07,2026-07
inference procedure,large language model,1,2026-07,2026-07
information matching,sample efficiency,1,2026-07,2026-07
information matching,transformer,1,2026-07,2026-07
information set monte carlo search,neural fictitious self-play,1,2026-07,2026-07
information set monte carlo search,reinforcement learning,1,2026-07,2026-07
information set monte carlo search,reward shaping,1,2026-07,2026-07
information set monte carlo search,self-play,1,2026-07,2026-07
information-theoretic capacity region,market coupling,1,2026-07,2026-07
information-theoretic capacity region,mean-field residual-scaling law,1,2026-07,2026-07
information-theoretic capacity region,population misalignment,1,2026-07,2026-07
information-theoretic capacity region,xor synergy control,1,2026-07,2026-07
innovative solutions,logical complexity,1,2026-07,2026-07
innovative solutions,natural world,1,2026-07,2026-07
information governance,legal professional privilege,1,2026-07,2026-07
importance sampling,policy loss,1,2026-07,2026-07
importance sampling,rejection sampling,1,2026-07,2026-07
importance sampling (is,probability capacity (cap,1,2026-07,2026-07
importance sampling (is,stop-gradient operator,1,2026-07,2026-07
importance sampling (is,unbounded positive asymmetric optimization (up,1,2026-07,2026-07
importance-weighted novelty,novelty profile,1,2026-07,2026-07
importance-weighted novelty,relevance anchor,1,2026-07,2026-07
importance-weighted novelty,visual token pruning,1,2026-07,2026-07
in-context learning,pretraining curriculum,1,2026-07,2026-07
in-context learning,rule-following behavior,1,2026-07,2026-07
inception module,knowledge distillation,1,2026-07,2026-07
