canonical_arxiv_id,published_month,primary_category,concept_name,concept_type
2607.07708,2026-07,cs.CL,native structural reasoning,method
2607.07708,2026-07,cs.CL,multimodal scientific foundation model,model
2607.07708,2026-07,cs.CL,homology-controlled gene ontology prediction,task
2607.07708,2026-07,cs.CL,structure-aware vocabulary,model
2607.07708,2026-07,cs.CL,retrosynthesis accuracy,metric
2607.07708,2026-07,cs.CL,elemental and compound phases,task
2607.07708,2026-07,cs.CL,band-gap regimes,task
2607.07707,2026-07,cs.CL,limited memory language models,model
2607.07707,2026-07,cs.CL,knowledge base,dataset
2607.07707,2026-07,cs.CL,continuous-query,method
2607.07707,2026-07,cs.CL,factual precision,metric
2607.07706,2026-07,cs.LG,softmax,other
2607.07706,2026-07,cs.LG,rank-1 orthogonal projections,method
2607.07706,2026-07,cs.LG,delta-style networks,model
2607.07706,2026-07,cs.LG,gated accumulation,method
2607.07706,2026-07,cs.LG,linearization,method
2607.07706,2026-07,cs.LG,llama,model
2607.07706,2026-07,cs.LG,qwen,model
2607.07706,2026-07,cs.LG,mmlu,other
2607.07702,2026-07,cs.CL,failure pattern mining,method
2607.07702,2026-07,cs.CL,causal localization,method
2607.07702,2026-07,cs.CL,textual dependency graph,model
2607.07702,2026-07,cs.CL,optimization context,task
2607.07702,2026-07,cs.CL,agent optimization,application
2607.07696,2026-07,cs.DB,llm-assisted code synthesis,method
2607.07696,2026-07,cs.DB,database storage decoding,task
2607.07696,2026-07,cs.DB,apache arrow buffers,metric
2607.07696,2026-07,cs.DB,tpc-h benchmark,other
2607.07696,2026-07,cs.DB,data lock-in,risk
2607.0768,2026-07,math.ST,random sampling map,method
2607.0768,2026-07,math.ST,generalization,theory
2607.0768,2026-07,math.ST,sketching,method
2607.0768,2026-07,math.ST,function class,task
2607.0768,2026-07,math.ST,sampling,method
2607.07678,2026-07,cs.LG,rotary position embeddings (rope,model
2607.07678,2026-07,cs.LG,frequency-matching principle,theory
2607.07678,2026-07,cs.LG,field-resolution tradeoff,theory
2607.07678,2026-07,cs.LG,position-interpolation-based length generalization,method
2607.07678,2026-07,cs.LG,self-similarity,theory
2607.07673,2026-07,cs.CV,multimodal,task
2607.07673,2026-07,cs.CV,high-fidelity,metric
